time,time_preload,format,i,col_idx,num_cols,num_rows
44.4329,31.9594,orc,3,2,800,100000
56.701,43.8123,orc,3,0,1000,100000
57.5839,43.2393,orc,3,1,1000,100000
58.4721,43.6683,orc,3,2,1000,100000
35,32,parquet,4,0,10,100000
35,30,parquet,4,1,10,100000
35,30,parquet,4,2,10,100000
35,30,parquet,4,0,50,100000
36,30,parquet,4,1,50,100000
36,30,parquet,4,2,50,100000
36,31,parquet,4,0,100,100000
36,30,parquet,4,1,100,100000
36,30,parquet,4,2,100,100000
36,31,parquet,4,0,150,100000
36,31,parquet,4,1,150,100000
35,31,parquet,4,2,150,100000
36,31,parquet,4,0,200,100000
36,31,parquet,4,1,200,100000
36,31,parquet,4,2,200,100000
37,31,parquet,4,0,400,100000
37,32,parquet,4,1,400,100000
39,32,parquet,4,2,400,100000
38,32,parquet,4,0,600,100000
39,32,parquet,4,1,600,100000
37,34,parquet,4,2,600,100000
38,33,parquet,4,0,800,100000
38,33,parquet,4,1,800,100000
38,33,parquet,4,2,800,100000
39,34,parquet,4,0,1000,100000
39,34,parquet,4,1,1000,100000
38,34,parquet,4,2,1000,100000
12.882100000000001,7.53797,orc,4,0,10,100000
12.0838,7.46263,orc,4,1,10,100000
12.0498,7.45644,orc,4,2,10,100000
12.28,7.35609,orc,4,0,50,100000
12.9436,7.3101,orc,4,1,50,100000
12.0924,7.44492,orc,4,2,50,100000
12.9203,7.67965,orc,4,0,100,100000
13.3641,7.5203,orc,4,1,100,100000
13.828999999999999,7.5060400000000005,orc,4,2,100,100000
14.2639,8.31973,orc,4,0,150,100000
14.9292,8.323260000000001,orc,4,1,150,100000
14.609300000000001,8.20216,orc,4,2,150,100000
16.4285,9.68516,orc,4,0,200,100000
16.5459,9.61712,orc,4,1,200,100000
16.203200000000002,9.59994,orc,4,2,200,100000
21.851599999999998,13.5137,orc,4,0,400,100000
23.8926,13.2298,orc,4,1,400,100000
23.0153,13.8128,orc,4,2,400,100000
32.9655,20.746299999999998,orc,4,0,600,100000
32.177,20.4388,orc,4,1,600,100000
32.0184,20.6589,orc,4,2,600,100000
42.6278,31.938800000000004,orc,4,0,800,100000
44.1659,32.034600000000005,orc,4,1,800,100000
44.5077,31.962600000000002,orc,4,2,800,100000
54.008399999999995,43.7457,orc,4,0,1000,100000
58.3881,43.7279,orc,4,1,1000,100000
58.7607,43.723400000000005,orc,4,2,1000,100000
