run,i,file,size,read_time,read_time_preload
3,7,parquet,17574165,0.118963,0.106839
3,7,orc,13496919,0.215299,0.195614
4,7,parquet,17574165,0.11787,0.106697
4,7,orc,10163519,0.190898,0.173046
5,7,parquet,17574165,0.121879,0.0827387
5,7,orc,8163499,0.177038,0.159395
6,7,parquet,17574165,0.119649,0.0996634
6,7,orc,6830179,0.165784,0.148735
7,7,parquet,17574165,0.119089,0.100597
7,7,orc,5877819,0.156716,0.139558
8,7,parquet,5034447,0.130729,0.122884
8,7,orc,5163459,0.15113,0.133858
9,7,parquet,4478927,0.123823,0.0949103
9,7,orc,4607939,0.144151,0.129683
10,7,parquet,4034441,0.117678,0.121049
10,7,orc,4163419,0.141498,0.128583
2,8,parquet,17574165,0.119822,0.100269
2,8,orc,20243199,0.125532,0.106568
3,8,parquet,17574165,0.117693,0.102977
3,8,orc,13496919,0.216572,0.196608
4,8,parquet,17574165,0.120601,0.102651
4,8,orc,10163519,0.191091,0.173487
5,8,parquet,17574165,0.119657,0.0998326
5,8,orc,8163499,0.177099,0.15937
6,8,parquet,17574165,0.12243,0.082682
6,8,orc,6830179,0.166362,0.147696
7,8,parquet,17574165,0.120026,0.0997448
7,8,orc,5877819,0.156899,0.140235
8,8,parquet,5034447,0.132358,0.117129
8,8,orc,5163459,0.150433,0.133611
9,8,parquet,4478927,0.123406,0.0949711
9,8,orc,4607939,0.144306,0.130553
10,8,parquet,4034441,0.117542,0.110355
10,8,orc,4163419,0.140915,0.127625
2,9,parquet,17574165,0.120348,0.103022
2,9,orc,20243199,0.126094,0.105357
3,9,parquet,17574165,0.125372,0.102882
3,9,orc,13496919,0.216392,0.196663
4,9,parquet,17574165,0.120734,0.0829396
4,9,orc,10163519,0.191118,0.172396
5,9,parquet,17574165,0.121966,0.102337
5,9,orc,8163499,0.176472,0.158204
6,9,parquet,17574165,0.120638,0.101781
6,9,orc,6830179,0.165377,0.148156
7,9,parquet,17574165,0.120547,0.105169
7,9,orc,5877819,0.157526,0.139511
8,9,parquet,5034447,0.129145,0.117603
8,9,orc,5163459,0.150665,0.133899
9,9,parquet,4478927,0.122944,0.09496
9,9,orc,4607939,0.144593,0.129801
10,9,parquet,4034441,0.116656,0.111041
10,9,orc,4163419,0.141366,0.128518
