i,format,proj_type,time,time_preload,selectivity
2,parquet,all,7509,7172,0.1
2,parquet,all,7430,7124,0.1
2,parquet,all,3256,3012,0.01
2,parquet,all,3222,2995,0.01
2,parquet,all,3279,3017,0.01
2,parquet,all,3267,3002,0.01
2,parquet,all,3357,3089,0.01
2,parquet,all,3266,3039,0.01
2,parquet,all,3274,2997,0.01
2,parquet,all,3299,3080,0.01
2,parquet,all,3298,3049,0.01
2,parquet,all,3288,3033,0.01
2,parquet,all,2775,2554,0.001
2,parquet,all,2754,2543,0.001
2,parquet,all,2734,2555,0.001
2,parquet,all,2740,2528,0.001
2,parquet,all,2777,2557,0.001
2,parquet,all,2784,2493,0.001
2,parquet,all,2746,2555,0.001
2,parquet,all,2783,2551,0.001
2,parquet,all,2806,2556,0.001
2,parquet,all,2790,2548,0.001
2,parquet,all,2666,2439,0.0001
2,parquet,all,2673,2402,0.0001
2,parquet,all,2692,2467,0.0001
2,parquet,all,2654,2452,0.0001
2,parquet,all,2695,2453,0.0001
2,parquet,all,2715,2447,0.0001
2,parquet,all,2706,2449,0.0001
2,parquet,all,2684,2452,0.0001
2,parquet,all,2661,2461,0.0001
2,parquet,all,2657,2475,0.0001
2,parquet,all,2057,1821,1e-05
2,parquet,all,2194,1944,1e-05
2,parquet,all,2392,2118,1e-05
2,parquet,all,2168,1900,1e-05
2,parquet,all,2123,1850,1e-05
2,parquet,all,2345,2067,1e-05
2,parquet,all,2530,2296,1e-05
2,parquet,all,2559,2369,1e-05
2,parquet,all,2870,2364,1e-05
2,parquet,all,2163,1898,1e-05
2,parquet,all,1804,1514,5e-06
2,parquet,all,1783,1519,5e-06
2,parquet,all,1781,1562,5e-06
2,parquet,all,1693,1463,5e-06
2,parquet,all,1731,1509,5e-06
2,parquet,all,1783,1524,5e-06
2,parquet,all,2064,1811,5e-06
2,parquet,all,1755,1564,5e-06
2,parquet,all,1856,1568,5e-06
2,parquet,all,1795,1561,5e-06
2,parquet,all,1179,969,1e-06
2,parquet,all,1207,1021,1e-06
2,parquet,all,1151,990,1e-06
2,parquet,all,1093,936,1e-06
2,parquet,all,1354,1110,1e-06
2,parquet,all,1071,940,1e-06
2,parquet,all,1026,868,1e-06
2,parquet,all,1207,986,1e-06
2,parquet,all,1277,1072,1e-06
2,parquet,all,1117,948,1e-06
2,parquet,all,5665,5464,1.0
